Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_Count
Tick fever,Fever,Nasal Discharge,Lameness,Lethargy,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Fever,Lameness,Swollen Lymph nodes,Vomiting,Neurological Disorders,None,None,5
Tick fever,Fever,Nasal Discharge,Lethargy,Swollen Lymph nodes,None,None,None,4
Tick fever,Fever,Nasal Discharge,Lameness,Vomiting,Neurological Disorders,None,None,5
Tick fever,Nasal Discharge,Weight Loss,Breathing Difficulty,Heart Complication,Vomiting,None,None,5
Tick fever,Fever,Loss of appetite,Weight Loss,Lameness,Heart Complication,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Weight Loss,Vomiting,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Fever,Nasal Discharge,Lethargy,Breathing Difficulty,None,None,None,4
Tick fever,Loss of appetite,Breathing Difficulty,Heart Complication,Neurological Disorders,None,None,None,4
Tick fever,Fever,Nasal Discharge,Weight Loss,Lethargy,Heart Complication,None,None,5
Tick fever,Nasal Discharge,Lethargy,Swollen Lymph nodes,Breathing Difficulty,Increased drinking and urination,None,None,5
Tick fever,Fever,Loss of appetite,Lethargy,Breathing Difficulty,Heart Complication,Vomiting,None,6
Tick fever,Fever,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,None,None,None,4
Tick fever,Nasal Discharge,Weight Loss,Swollen Lymph nodes,Breathing Difficulty,Heart Complication,Vomiting,None,6
Tick fever,Fever,Loss of appetite,Nasal Discharge,Weight Loss,Breathing Difficulty,Heart Complication,None,6
Tick fever,Nasal Discharge,Weight Loss,Lameness,Breathing Difficulty,None,None,None,4
Tick fever,Fever,Loss of appetite,Nasal Discharge,Swollen Lymph nodes,Vomiting,None,None,5
Tick fever,Nasal Discharge,Weight Loss,Swollen Lymph nodes,Breathing Difficulty,Increased drinking and urination,None,None,5
Tick fever,Fever,Nasal Discharge,Swollen Lymph nodes,Increased drinking and urination,None,None,None,4
Tick fever,Nasal Discharge,Lameness,Heart Complication,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Fever,Loss of appetite,Nasal Discharge,Lameness,Swollen Lymph nodes,Heart Complication,None,6
Tick fever,Weight Loss,Lameness,Breathing Difficulty,Vomiting,Neurological Disorders,None,None,5
Tick fever,Fever,Loss of appetite,Lameness,Lethargy,Breathing Difficulty,Vomiting,None,6
Tick fever,Lameness,Breathing Difficulty,Heart Complication,Vomiting,Increased drinking and urination,None,None,5
Tick fever,Fever,Loss of appetite,Nasal Discharge,Weight Loss,Heart Complication,Vomiting,None,6
Tick fever,Loss of appetite,Swollen Lymph nodes,Breathing Difficulty,Increased drinking and urination,None,None,None,4
Tick fever,Fever,Loss of appetite,Nasal Discharge,Heart Complication,Vomiting,Neurological Disorders,None,6
Tick fever,Fever,Lameness,Swollen Lymph nodes,Heart Complication,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Nasal Discharge,Weight Loss,Lethargy,Heart Complication,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Fever,Weight Loss,Lameness,Breathing Difficulty,Increased drinking and urination,None,None,5
Tick fever,Fever,Heart Complication,Vomiting,Increased drinking and urination,Neurological Disorders,None,None,5
Tick fever,Nasal Discharge,Weight Loss,Lameness,Swollen Lymph nodes,Heart Complication,Increased drinking and urination,None,6
Tick fever,Nasal Discharge,Lethargy,Swollen Lymph nodes,Heart Complication,Increased drinking and urination,None,None,5
Tick fever,Fever,Nasal Discharge,Lameness,Swollen Lymph nodes,Heart Complication,Vomiting,None,6
Tick fever,Loss of appetite,Weight Loss,Lameness,Lethargy,Breathing Difficulty,None,None,5
Tick fever,Nasal Discharge,Swollen Lymph nodes,Vomiting,Increased drinking and urination,Neurological Disorders,None,None,5
Tick fever,Loss of appetite,Lameness,Heart Complication,Neurological Disorders,None,None,None,4
Tick fever,Fever,Nasal Discharge,Weight Loss,Lameness,Breathing Difficulty,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Weight Loss,Lethargy,Swollen Lymph nodes,Neurological Disorders,None,6
Tick fever,Fever,Lameness,Lethargy,Heart Complication,Increased drinking and urination,None,None,5
Tick fever,Weight Loss,Lethargy,Swollen Lymph nodes,Heart Complication,Neurological Disorders,None,None,5
Tick fever,Fever,Loss of appetite,Nasal Discharge,Swollen Lymph nodes,Breathing Difficulty,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Lameness,Lethargy,Swollen Lymph nodes,Vomiting,None,6
Tick fever,Fever,Lameness,Lethargy,Swollen Lymph nodes,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Nasal Discharge,Swollen Lymph nodes,Increased drinking and urination,Neurological Disorders,None,6
Tick fever,Nasal Discharge,Weight Loss,Swollen Lymph nodes,Increased drinking and urination,Neurological Disorders,None,None,5
Tick fever,Loss of appetite,Weight Loss,Lethargy,Swollen Lymph nodes,Heart Complication,Increased drinking and urination,None,6
Tick fever,Fever,Nasal Discharge,Weight Loss,Lameness,Lethargy,Swollen Lymph nodes,None,6
Tick fever,Nasal Discharge,Weight Loss,Lethargy,Swollen Lymph nodes,Vomiting,Increased drinking and urination,None,6
Tick fever,Nasal Discharge,Lameness,Lethargy,Increased drinking and urination,Neurological Disorders,None,None,5
Tick fever,Loss of appetite,Weight Loss,Lameness,Heart Complication,Increased drinking and urination,None,None,5
Tick fever,Fever,Loss of appetite,Lameness,Lethargy,Swollen Lymph nodes,Neurological Disorders,None,6
Tick fever,Fever,Loss of appetite,Nasal Discharge,Lameness,Lethargy,Increased drinking and urination,None,6
Tick fever,Nasal Discharge,Lameness,Swollen Lymph nodes,Heart Complication,Vomiting,Neurological Disorders,None,6
Tick fever,Lameness,Lethargy,Swollen Lymph nodes,Heart Complication,None,None,None,4
Tick fever,Lameness,Lethargy,Swollen Lymph nodes,Vomiting,None,None,None,4
Tick fever,Breathing Difficulty,Heart Complication,Vomiting,Increased drinking and urination,None,None,None,4
